source,region,country,year,metric_type,value
Energy Institute,Africa,Eastern Africa,1984,CO₂ emissions from energy (MtCO₂),35.28068476
Energy Institute,Africa,South Africa,1984,CO₂ emissions from energy (MtCO₂),290.4010862
Energy Institute,Africa,Other Southern Africa,1984,CO₂ emissions from energy (MtCO₂),1.891246408
Energy Institute,Africa,Other Northern Africa,1984,CO₂ emissions from energy (MtCO₂),31.43156792
Energy Institute,Africa,Algeria,1984,CO₂ emissions from energy (MtCO₂),56.95771862
Energy Institute,Africa,Morocco,1984,CO₂ emissions from energy (MtCO₂),16.57566365
Energy Institute,Africa,Western Africa,1984,CO₂ emissions from energy (MtCO₂),45.56235786
Energy Institute,Africa,Other Southern Africa,1985,CO₂ emissions from energy (MtCO₂),2.107228341
Energy Institute,Africa,Morocco,1985,CO₂ emissions from energy (MtCO₂),17.17301327
Energy Institute,Africa,South Africa,1985,CO₂ emissions from energy (MtCO₂),297.120084
Energy Institute,Africa,Eastern Africa,1985,CO₂ emissions from energy (MtCO₂),37.4018362
Energy Institute,Africa,Western Africa,1985,CO₂ emissions from energy (MtCO₂),47.31628301
Energy Institute,Africa,Other Northern Africa,1985,CO₂ emissions from energy (MtCO₂),34.52247337
Energy Institute,Africa,Egypt,1985,CO₂ emissions from energy (MtCO₂),73.48975969
Energy Institute,Africa,Algeria,1985,CO₂ emissions from energy (MtCO₂),57.61245239
Energy Institute,Africa,Middle Africa,1985,CO₂ emissions from energy (MtCO₂),14.55341129
Energy Institute,Africa,Middle Africa,1986,CO₂ emissions from energy (MtCO₂),14.0561168
Energy Institute,Africa,Other Southern Africa,1986,CO₂ emissions from energy (MtCO₂),2.351456016
Energy Institute,Africa,Eastern Africa,1986,CO₂ emissions from energy (MtCO₂),38.87370741
Energy Institute,Africa,Egypt,1986,CO₂ emissions from energy (MtCO₂),74.78003343
Energy Institute,Africa,Algeria,1986,CO₂ emissions from energy (MtCO₂),60.98556334
Energy Institute,Africa,Morocco,1986,CO₂ emissions from energy (MtCO₂),17.75927268
Energy Institute,Africa,Other Northern Africa,1986,CO₂ emissions from energy (MtCO₂),34.44830981
