source,technology,region,country,year,metric_type,value
Energy Institute,Biofuels,Asia Pacific,Indonesia,2017,Primary energy consumption (EJ),0.084662452
Energy Institute,Biofuels,Asia Pacific,India,2018,Primary energy consumption (EJ),0.037959158
Energy Institute,Biofuels,Asia Pacific,Australia,2018,Primary energy consumption (EJ),0.005959349
Energy Institute,Biofuels,Asia Pacific,South Korea,2018,Primary energy consumption (EJ),0.028604217
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2018,Primary energy consumption (EJ),0.059828819
Energy Institute,Biofuels,Asia Pacific,Indonesia,2018,Primary energy consumption (EJ),0.123438649
Energy Institute,Biofuels,Asia Pacific,China,2018,Primary energy consumption (EJ),0.121209688
Energy Institute,Biofuels,Asia Pacific,Thailand,2018,Primary energy consumption (EJ),0.08333195
Energy Institute,Biofuels,Asia Pacific,Indonesia,2019,Primary energy consumption (EJ),0.210536957
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2019,Primary energy consumption (EJ),0.068636221
Energy Institute,Biofuels,Asia Pacific,China,2019,Primary energy consumption (EJ),0.129790202
Energy Institute,Biofuels,Asia Pacific,Thailand,2019,Primary energy consumption (EJ),0.093060441
Energy Institute,Biofuels,Asia Pacific,South Korea,2019,Primary energy consumption (EJ),0.02929504
Energy Institute,Biofuels,Asia Pacific,India,2019,Primary energy consumption (EJ),0.046784081
Energy Institute,Biofuels,Asia Pacific,Australia,2019,Primary energy consumption (EJ),0.005450058
Energy Institute,Biofuels,Asia Pacific,India,2020,Primary energy consumption (EJ),0.043855524
Energy Institute,Biofuels,Asia Pacific,South Korea,2020,Primary energy consumption (EJ),0.02888892
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2020,Primary energy consumption (EJ),0.073100698
Energy Institute,Biofuels,Asia Pacific,Thailand,2020,Primary energy consumption (EJ),0.093513213
Energy Institute,Biofuels,Asia Pacific,Indonesia,2020,Primary energy consumption (EJ),0.276502579
Energy Institute,Biofuels,Asia Pacific,Australia,2020,Primary energy consumption (EJ),0.004330365
Energy Institute,Biofuels,Asia Pacific,China,2020,Primary energy consumption (EJ),0.09897593
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2021,Primary energy consumption (EJ),0.076809562
Energy Institute,Biofuels,Asia Pacific,China,2021,Primary energy consumption (EJ),0.102997625
Energy Institute,Biofuels,Asia Pacific,Indonesia,2021,Primary energy consumption (EJ),0.305930346
Energy Institute,Biofuels,Asia Pacific,Australia,2021,Primary energy consumption (EJ),0.004460916
Energy Institute,Biofuels,Asia Pacific,India,2021,Primary energy consumption (EJ),0.070836118
Energy Institute,Biofuels,Asia Pacific,Thailand,2021,Primary energy consumption (EJ),0.083834028
Energy Institute,Biofuels,Asia Pacific,South Korea,2021,Primary energy consumption (EJ),0.024999382
Energy Institute,Biofuels,Asia Pacific,India,2022,Primary energy consumption (EJ),0.100856317
Energy Institute,Biofuels,Asia Pacific,Australia,2022,Primary energy consumption (EJ),0.00485875
Energy Institute,Biofuels,Asia Pacific,Indonesia,2022,Primary energy consumption (EJ),0.343949437
Energy Institute,Biofuels,Asia Pacific,South Korea,2022,Primary energy consumption (EJ),0.028595844
Energy Institute,Biofuels,Asia Pacific,Thailand,2022,Primary energy consumption (EJ),0.076095503
Energy Institute,Biofuels,Asia Pacific,China,2022,Primary energy consumption (EJ),0.105060415
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2022,Primary energy consumption (EJ),0.082319573
Energy Institute,Biofuels,Asia Pacific,Indonesia,2023,Primary energy consumption (EJ),0.404552153
Energy Institute,Biofuels,Asia Pacific,India,2023,Primary energy consumption (EJ),0.123612567
Energy Institute,Biofuels,Asia Pacific,Thailand,2023,Primary energy consumption (EJ),0.084032057
Energy Institute,Biofuels,Asia Pacific,China,2023,Primary energy consumption (EJ),0.110943303
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2023,Primary energy consumption (EJ),0.08688017
Energy Institute,Biofuels,Asia Pacific,South Korea,2023,Primary energy consumption (EJ),0.031798746
Energy Institute,Biofuels,Asia Pacific,Australia,2023,Primary energy consumption (EJ),0.004653452
Energy Institute,Biofuels,CIS,,2000,Primary energy consumption (EJ),
Energy Institute,Biofuels,CIS,,2001,Primary energy consumption (EJ),
Energy Institute,Biofuels,CIS,,2002,Primary energy consumption (EJ),
Energy Institute,Biofuels,CIS,,2003,Primary energy consumption (EJ),
Energy Institute,Biofuels,CIS,,2004,Primary energy consumption (EJ),
Energy Institute,Biofuels,CIS,,2005,Primary energy consumption (EJ),
Energy Institute,Biofuels,CIS,,2006,Primary energy consumption (EJ),
Energy Institute,Biofuels,CIS,,2007,Primary energy consumption (EJ),
Energy Institute,Biofuels,CIS,,2008,Primary energy consumption (EJ),0.000296
Energy Institute,Biofuels,CIS,,2009,Primary energy consumption (EJ),0.000851
Energy Institute,Biofuels,CIS,,2010,Primary energy consumption (EJ),0.001406
Energy Institute,Biofuels,CIS,,2011,Primary energy consumption (EJ),0.001147
Energy Institute,Biofuels,CIS,,2012,Primary energy consumption (EJ),0.001221
Energy Institute,Biofuels,CIS,,2013,Primary energy consumption (EJ),0.000962
