source,group_technology,technology,project_type,region,country,period,year,metric_type,value_category,country_value,regional_value
IRENA,Wind,Onshore wind,,,India,2016-2023,2022,Total installed cost (USD/kW),Weighted average,1163.310738,
IRENA,Wind,Onshore wind,,,India,2016-2023,2023,Total installed cost (USD/kW),Weighted average,1208.12618,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,1989,Total installed cost (USD/kW),Weighted average,3708.067395,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,1991,Total installed cost (USD/kW),Weighted average,3966.308607,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,1992,Total installed cost (USD/kW),Weighted average,3739.223457,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,1993,Total installed cost (USD/kW),Weighted average,3636.493168,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,1994,Total installed cost (USD/kW),Weighted average,3367.971274,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,1995,Total installed cost (USD/kW),Weighted average,3140.840643,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,1996,Total installed cost (USD/kW),Weighted average,3038.110496,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,1997,Total installed cost (USD/kW),Weighted average,2956.098579,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,1998,Total installed cost (USD/kW),Weighted average,2915.477926,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,1999,Total installed cost (USD/kW),Weighted average,2750.547466,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,2000,Total installed cost (USD/kW),Weighted average,2606.33552,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,2001,Total installed cost (USD/kW),Weighted average,2482.887001,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,2002,Total installed cost (USD/kW),Weighted average,2389.092239,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,2003,Total installed cost (USD/kW),Weighted average,2515.499236,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,2004,Total installed cost (USD/kW),Weighted average,2340.163456,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,2005,Total installed cost (USD/kW),Weighted average,2375.669208,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,2006,Total installed cost (USD/kW),Weighted average,2372.647656,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,2007,Total installed cost (USD/kW),Weighted average,2518.890495,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,2008,Total installed cost (USD/kW),Weighted average,2709.369073,
IRENA,Wind,Onshore wind,,,Italy,1984-2009,2009,Total installed cost (USD/kW),Weighted average,3209.148176,
IRENA,Wind,Onshore wind,,,Italy,2010-2015,2010,Total installed cost (USD/kW),Weighted average,2971.588579,
IRENA,Wind,Onshore wind,,,Italy,2010-2015,2011,Total installed cost (USD/kW),Weighted average,3645.294956,
IRENA,Wind,Onshore wind,,,Italy,2010-2015,2012,Total installed cost (USD/kW),Weighted average,3410.617419,
IRENA,Wind,Onshore wind,,,Italy,2010-2015,2013,Total installed cost (USD/kW),Weighted average,2352.962314,
IRENA,Wind,Onshore wind,,,Italy,2010-2015,2014,Total installed cost (USD/kW),Weighted average,2306.4314,
IRENA,Wind,Onshore wind,,,Italy,2010-2015,2015,Total installed cost (USD/kW),Weighted average,2468.564195,
IRENA,Wind,Onshore wind,,,Italy,2016-2023,2016,Total installed cost (USD/kW),Weighted average,2080.179759,
IRENA,Wind,Onshore wind,,,Italy,2016-2023,2017,Total installed cost (USD/kW),Weighted average,2976.517136,
IRENA,Wind,Onshore wind,,,Italy,2016-2023,2018,Total installed cost (USD/kW),Weighted average,2044.945853,
IRENA,Wind,Onshore wind,,,Italy,2016-2023,2019,Total installed cost (USD/kW),Weighted average,1942.518522,
IRENA,Wind,Onshore wind,,,Italy,2016-2023,2020,Total installed cost (USD/kW),Weighted average,1989.783882,
IRENA,Wind,Onshore wind,,,Italy,2016-2023,2021,Total installed cost (USD/kW),Weighted average,1527.91984,
